date,fund,ticker,weight
2022-08-04,Combined Max-Sharpe,NUE,0.08227254767060699
2022-09-02,Combined Max-Sharpe,NUE,0.08141034220153806
2022-10-04,Combined Max-Sharpe,NUE,0.0773604340347996
2022-11-02,Combined Max-Sharpe,NUE,0.09235102833554439
2022-12-02,Combined Max-Sharpe,NUE,0.09999999999999996
2023-01-04,Combined Max-Sharpe,NUE,0.09957291040143443
2023-02-03,Combined Max-Sharpe,NUE,0.1
2023-03-07,Combined Max-Sharpe,NUE,0.09999999999999999
2023-04-05,Combined Max-Sharpe,NUE,0.06771748684064006
2023-05-05,Combined Max-Sharpe,NUE,0.0731985170740923
2023-06-06,Combined Max-Sharpe,NUE,0.056109263849543796
2023-07-07,Combined Max-Sharpe,NUE,0.08996074793315167
2023-08-07,Combined Max-Sharpe,NUE,0.09255707077232218
2023-09-06,Combined Max-Sharpe,NUE,0.0962300549705017
2023-10-05,Combined Max-Sharpe,NUE,0.0723939221056301
2023-11-03,Combined Max-Sharpe,NUE,0.05328091872290066
2023-12-05,Combined Max-Sharpe,NUE,0.08425534740034445
2021-01-04,Combined Max-Sharpe,NVDA,0.1
2021-02-03,Combined Max-Sharpe,NVDA,0.1
2021-03-05,Combined Max-Sharpe,NVDA,0.1
2021-04-06,Combined Max-Sharpe,NVDA,0.1
2021-05-05,Combined Max-Sharpe,NVDA,0.1
2021-06-04,Combined Max-Sharpe,NVDA,0.09999999999999991
2021-07-06,Combined Max-Sharpe,NVDA,0.1
2021-08-04,Combined Max-Sharpe,NVDA,0.09999999999999987
2021-09-02,Combined Max-Sharpe,NVDA,0.1
2021-10-04,Combined Max-Sharpe,NVDA,0.09999999999999994
2021-11-02,Combined Max-Sharpe,NVDA,0.0999999999999998
2021-12-02,Combined Max-Sharpe,NVDA,0.1
2022-01-03,Combined Max-Sharpe,NVDA,0.09999999999999992
2022-02-02,Combined Max-Sharpe,NVDA,0.1
2022-03-04,Combined Max-Sharpe,NVDA,0.06728362874773296
2022-04-04,Combined Max-Sharpe,NVDA,0.05992117577748211
2022-05-04,Combined Max-Sharpe,NVDA,0.030956796171911476
2022-06-03,Combined Max-Sharpe,NVDA,0.01183337585000123
2022-07-06,Combined Max-Sharpe,NVDA,0.011284526808337478
2022-08-04,Combined Max-Sharpe,NVDA,0.029853729986597136
2023-03-07,Combined Max-Sharpe,NVDA,0.019003779488606456
2023-04-05,Combined Max-Sharpe,NVDA,0.08666427924570419
2023-05-05,Combined Max-Sharpe,NVDA,0.1
2023-06-06,Combined Max-Sharpe,NVDA,0.1
2023-07-07,Combined Max-Sharpe,NVDA,0.1
2023-08-07,Combined Max-Sharpe,NVDA,0.1
2023-09-06,Combined Max-Sharpe,NVDA,0.1
2023-10-05,Combined Max-Sharpe,NVDA,0.1
2023-11-03,Combined Max-Sharpe,NVDA,0.09999999999999999
2023-12-05,Combined Max-Sharpe,NVDA,0.1
2022-04-04,Combined Max-Sharpe,OXY,0.008240973872800856
2022-05-04,Combined Max-Sharpe,OXY,0.03256028282546397
2022-06-03,Combined Max-Sharpe,OXY,0.05369895503489758
2022-07-06,Combined Max-Sharpe,OXY,0.09136562479211761
2022-08-04,Combined Max-Sharpe,OXY,0.09611471152053744
2022-09-02,Combined Max-Sharpe,OXY,0.1
2022-10-04,Combined Max-Sharpe,OXY,0.1
2022-11-02,Combined Max-Sharpe,OXY,0.09999999999999996
2022-12-02,Combined Max-Sharpe,OXY,0.1
2023-01-04,Combined Max-Sharpe,OXY,0.1
2023-02-03,Combined Max-Sharpe,OXY,0.1
2023-03-07,Combined Max-Sharpe,OXY,0.1
2023-04-05,Combined Max-Sharpe,OXY,0.1
2023-05-05,Combined Max-Sharpe,OXY,0.09999999999999998
2023-06-06,Combined Max-Sharpe,OXY,0.1
2023-07-07,Combined Max-Sharpe,OXY,0.09999999999999994
2023-08-07,Combined Max-Sharpe,OXY,0.09999999999999996
2023-09-06,Combined Max-Sharpe,OXY,0.1
2023-10-05,Combined Max-Sharpe,OXY,0.09999999999999974
2023-11-03,Combined Max-Sharpe,OXY,0.09999999999999992
2023-12-05,Combined Max-Sharpe,OXY,0.1
2021-09-02,Combined Max-Sharpe,PLD,0.0037129560936446145
2021-10-04,Combined Max-Sharpe,PLD,0.04679187164721638
2021-11-02,Combined Max-Sharpe,PLD,0.08083466735494953
2021-12-02,Combined Max-Sharpe,PLD,0.09295315330656295
2022-01-03,Combined Max-Sharpe,PLD,0.1
2022-02-02,Combined Max-Sharpe,PLD,0.1
2022-03-04,Combined Max-Sharpe,PLD,0.1
2022-04-04,Combined Max-Sharpe,PLD,0.1
2022-05-04,Combined Max-Sharpe,PLD,0.040801524791466696
2021-03-05,Combined Max-Sharpe,PSA,0.01906299857596494
2021-04-06,Combined Max-Sharpe,PSA,0.1
2021-05-05,Combined Max-Sharpe,PSA,0.09999999999999995
2021-06-04,Combined Max-Sharpe,PSA,0.0999999999999993
2021-07-06,Combined Max-Sharpe,PSA,0.09999999999999999
2021-08-04,Combined Max-Sharpe,PSA,0.1
2021-09-02,Combined Max-Sharpe,PSA,0.09999999999999999
2021-10-04,Combined Max-Sharpe,PSA,0.1
2021-11-02,Combined Max-Sharpe,PSA,0.09999999999999991
2021-12-02,Combined Max-Sharpe,PSA,0.09999999999999981
2022-01-03,Combined Max-Sharpe,PSA,0.09999999999999969
2022-02-02,Combined Max-Sharpe,PSA,0.1
2022-03-04,Combined Max-Sharpe,PSA,0.1
2022-04-04,Combined Max-Sharpe,PSA,0.1
2022-05-04,Combined Max-Sharpe,PSA,0.1
2022-06-03,Combined Max-Sharpe,PSA,0.057310965010633284
2022-07-06,Combined Max-Sharpe,PSA,0.09999999999999996
2022-08-04,Combined Max-Sharpe,PSA,0.1
2022-09-02,Combined Max-Sharpe,PSA,0.1
2022-10-04,Combined Max-Sharpe,PSA,0.1
2022-11-02,Combined Max-Sharpe,PSA,0.1
2023-02-03,Combined Max-Sharpe,PSA,0.0832730880845927
2023-03-07,Combined Max-Sharpe,PSA,0.08302588442392231
2023-04-05,Combined Max-Sharpe,PSA,0.05660282831046154
2023-05-05,Combined Max-Sharpe,PSA,0.02534720435302776
2023-06-06,Combined Max-Sharpe,PSA,0.0030382266265880646
2023-07-07,Combined Max-Sharpe,PSA,0.02697400079291356
2023-08-07,Combined Max-Sharpe,PSA,0.017914907303002638
2021-01-04,Combined Max-Sharpe,QCOM,0.007764653594645388
2021-02-03,Combined Max-Sharpe,QCOM,0.04224952441243807
2021-05-05,Combined Max-Sharpe,SHW,0.008243863306385924
2021-06-04,Combined Max-Sharpe,SHW,0.003954459337990291
2021-08-04,Combined Max-Sharpe,SHW,0.06416345768831966
2021-09-02,Combined Max-Sharpe,SHW,0.09232855223744275
2021-10-04,Combined Max-Sharpe,SHW,0.09022893888683141
2021-11-02,Combined Max-Sharpe,SHW,0.08724890792365309
2021-12-02,Combined Max-Sharpe,SHW,0.1
2022-01-03,Combined Max-Sharpe,SHW,0.1
2022-05-04,Combined Max-Sharpe,SHW,0.053059192380392105
2022-06-03,Combined Max-Sharpe,SHW,0.0893571684615792
2022-07-06,Combined Max-Sharpe,SHW,0.026170860367996082
2022-08-04,Combined Max-Sharpe,SHW,0.024886020504911507
2022-05-04,Combined Max-Sharpe,SO,0.009244773904653314
2022-06-03,Combined Max-Sharpe,SO,0.09999999999999959
2022-07-06,Combined Max-Sharpe,SO,0.07478108916545213
2022-08-04,Combined Max-Sharpe,SO,0.1
2022-09-02,Combined Max-Sharpe,SO,0.09999999999999999
2022-10-04,Combined Max-Sharpe,SO,0.09999999999999985
2023-01-04,Combined Max-Sharpe,SO,0.01180453910704602
2023-04-05,Combined Max-Sharpe,SO,0.009436545058610803
2023-05-05,Combined Max-Sharpe,SO,0.09580799117985775
2023-06-06,Combined Max-Sharpe,SO,0.07775785227979323
2023-07-07,Combined Max-Sharpe,SO,0.06520742009977804
2023-08-07,Combined Max-Sharpe,SO,0.026286429687875607
2023-09-06,Combined Max-Sharpe,SO,0.0592890245950369
2023-10-05,Combined Max-Sharpe,SO,0.029130601382602952
2023-11-03,Combined Max-Sharpe,SO,0.016588942926193607
2023-12-05,Combined Max-Sharpe,SO,0.08478088938970572
2021-01-04,Combined Max-Sharpe,TMUS,0.0999999999999997
2021-02-03,Combined Max-Sharpe,TMUS,0.05498495375047489
2021-03-05,Combined Max-Sharpe,TMUS,0.1
2021-04-06,Combined Max-Sharpe,TMUS,0.1
2021-05-05,Combined Max-Sharpe,TMUS,0.07953542358691014
